date,close,volume
2026-02-25,2008.4471435546875,40832607
2026-02-26,1988.51220703125,58561388
2026-03-02,1968.5772705078125,48884884
2026-03-03,1928.707275390625,43090471
2026-03-04,1858.9349365234375,68160943
2026-03-05,1893.8211669921875,48120463
2026-03-06,1883.8536376953125,30082724
2026-03-09,1804.11376953125,76459172
2026-03-10,1843.9837646484375,41375691
2026-03-11,1933.6910400390625,36167313
2026-03-12,1878.869873046875,34040589
2026-03-13,1858.9349365234375,31214304
2026-03-16,1839.0,31249086
2026-03-17,1870.0,23812211
2026-03-18,1905.0,23068156
2026-03-19,1850.0,31040569
2026-03-20,1840.0,46312322
2026-03-23,1810.0,34902948
2026-03-24,1810.0,27001025
2026-03-25,1860.0,9841844
